what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.100.201002161416,"org.eclipse.cdt.managedbuilder.gnu.ui",1553287107671
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1553287107687
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1553287107718
started,bundle,org.eclipse.cdt.make.core,6.0.0.201002161416,"org.eclipse.cdt.make.core",1553287107749
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287107780
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287112467
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1553287130848
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1553287130848
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287133170
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287135067
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.navigate.opentype",1553287135078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287140106
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287141834
executed,command,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.navigate.opentype",1553287141834
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1553287156515
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1553287156608
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1553287156655
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1553287156671
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1553287156671
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1553287161624
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1553287161624
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1553287161640
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1553287162671
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1553287162671
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1553287162796
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1553287162796
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1553287163280
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1553287163827
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1553287163827
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1553287172436
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1553287172467
executed,command,,,"org.eclipse.cdt.ui.CPerspective",1553287172467
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1553287175249
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1553287175264
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1553287176296
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1553287182999
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1553287183014
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1553287183014
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1553287188202
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1553287188249
executed,command,,,"org.eclipse.cdt.ui.CPerspective",1553287188249
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1553287193702
opened,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1553287193748
activated,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1553287193780
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.views.showView",1553287193780
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1553287202702
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1553287203952
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287203999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287205250
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1553287205250
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287208407
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287212827
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1553287212827
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287214702
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287218781
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1553287218781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287221803
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287231470
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287237266
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1553287240073
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1553287240097
opened,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1553287240155
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1553287240171
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1553287240202
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1553287240202
closed,view,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CView",1553287240202
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.window.resetPerspective",1553287240296
